sIP,dIP,sPort,dPort,protocol,packets,bytes,flags,sTime,duration,eTime,sensor
192.168.0.10,194.168.4.100,60806,53,17,1,67,,2021/03/28T12:55:00.174,0.000,2021/03/28T12:55:00.174,S0
192.168.0.10,213.163.86.115,59498,50001,17,1,36,,2021/03/28T12:55:00.319,0.000,2021/03/28T12:55:00.319,S0
192.168.0.10,213.163.94.30,59498,50003,17,1,36,,2021/03/28T12:55:00.319,0.000,2021/03/28T12:55:00.319,S0
192.168.0.10,213.163.95.235,59498,50003,17,1,36,,2021/03/28T12:55:00.319,0.000,2021/03/28T12:55:00.319,S0
192.168.0.10,188.122.93.101,59498,50002,17,1,36,,2021/03/28T12:55:00.319,0.000,2021/03/28T12:55:00.319,S0
192.168.0.10,5.200.3.91,59498,50001,17,1,36,,2021/03/28T12:55:00.319,0.000,2021/03/28T12:55:00.319,S0
192.168.0.10,188.122.66.8,59498,50004,17,1,36,,2021/03/28T12:55:00.319,0.000,2021/03/28T12:55:00.319,S0
192.168.0.10,188.122.83.38,59498,50002,17,1,36,,2021/03/28T12:55:00.320,0.000,2021/03/28T12:55:00.320,S0
192.168.0.10,188.122.64.138,59498,50002,17,1,36,,2021/03/28T12:55:00.320,0.000,2021/03/28T12:55:00.320,S0
192.168.0.10,188.122.66.106,59498,50003,17,1,36,,2021/03/28T12:55:00.320,0.000,2021/03/28T12:55:00.320,S0
192.168.0.10,188.122.65.136,59498,50004,17,1,36,,2021/03/28T12:55:00.320,0.000,2021/03/28T12:55:00.320,S0
192.168.0.10,185.179.203.235,59498,50004,17,1,36,,2021/03/28T12:55:00.320,0.000,2021/03/28T12:55:00.320,S0
192.168.0.10,185.179.203.232,59498,50002,17,1,36,,2021/03/28T12:55:00.320,0.000,2021/03/28T12:55:00.320,S0
192.168.0.10,185.179.203.231,59498,50001,17,1,36,,2021/03/28T12:55:00.320,0.000,2021/03/28T12:55:00.320,S0
192.168.0.10,185.179.203.234,59498,50003,17,1,36,,2021/03/28T12:55:00.320,0.000,2021/03/28T12:55:00.320,S0
192.168.0.10,185.179.203.233,59498,50004,17,1,36,,2021/03/28T12:55:00.320,0.000,2021/03/28T12:55:00.320,S0
192.168.0.10,35.212.20.19,59498,50001,17,1,36,,2021/03/28T12:55:00.320,0.000,2021/03/28T12:55:00.320,S0
192.168.0.10,213.179.198.105,59498,50004,17,1,36,,2021/03/28T12:55:00.320,0.000,2021/03/28T12:55:00.320,S0
192.168.0.10,35.212.111.96,59498,50001,17,1,36,,2021/03/28T12:55:00.321,0.000,2021/03/28T12:55:00.321,S0
192.168.0.10,35.212.126.34,59498,50002,17,1,36,,2021/03/28T12:55:00.321,0.000,2021/03/28T12:55:00.321,S0
192.168.0.10,35.212.57.110,59498,50003,17,1,36,,2021/03/28T12:55:00.321,0.000,2021/03/28T12:55:00.321,S0
192.168.0.10,138.128.141.123,59498,50002,17,1,36,,2021/03/28T12:55:00.321,0.000,2021/03/28T12:55:00.321,S0
192.168.0.10,138.128.142.55,59498,50002,17,1,36,,2021/03/28T12:55:00.321,0.000,2021/03/28T12:55:00.321,S0
192.168.0.10,138.128.143.7,59498,50004,17,1,36,,2021/03/28T12:55:00.321,0.000,2021/03/28T12:55:00.321,S0
192.168.0.10,138.128.140.216,59498,50004,17,1,36,,2021/03/28T12:55:00.321,0.000,2021/03/28T12:55:00.321,S0
192.168.0.10,138.128.141.79,59498,50003,17,1,36,,2021/03/28T12:55:00.321,0.000,2021/03/28T12:55:00.321,S0
192.168.0.10,224.0.0.252,63359,5355,17,2,100,,2021/03/28T12:55:00.197,0.417,2021/03/28T12:55:00.614,S0
192.168.0.10,224.0.0.252,62883,5355,17,2,100,,2021/03/28T12:55:11.587,0.421,2021/03/28T12:55:12.008,S0
192.168.0.10,194.168.4.100,62799,53,17,1,57,,2021/03/28T12:55:26.072,0.000,2021/03/28T12:55:26.072,S0
192.168.0.10,194.168.4.100,52511,53,17,1,60,,2021/03/28T12:56:04.295,0.000,2021/03/28T12:56:04.295,S0
192.168.0.10,194.168.4.100,57014,53,17,1,57,,2021/03/28T12:56:04.308,0.000,2021/03/28T12:56:04.308,S0
192.168.0.10,194.168.4.100,61897,53,17,1,75,,2021/03/28T12:56:04.335,0.000,2021/03/28T12:56:04.335,S0
192.168.0.10,194.168.4.100,57257,53,17,1,60,,2021/03/28T12:56:04.409,0.000,2021/03/28T12:56:04.409,S0
192.168.0.10,194.168.4.100,55670,53,17,1,73,,2021/03/28T12:56:04.495,0.000,2021/03/28T12:56:04.495,S0
192.168.0.10,194.168.4.100,52126,53,17,1,55,,2021/03/28T12:56:04.495,0.000,2021/03/28T12:56:04.495,S0
192.168.0.10,194.168.4.100,64895,53,17,1,56,,2021/03/28T12:56:04.628,0.000,2021/03/28T12:56:04.628,S0
192.168.0.10,194.168.4.100,56526,53,17,1,57,,2021/03/28T12:56:04.889,0.000,2021/03/28T12:56:04.889,S0
192.168.0.10,194.168.4.100,51957,53,17,1,60,,2021/03/28T12:56:07.127,0.000,2021/03/28T12:56:07.127,S0
192.168.0.10,216.58.198.164,51958,443,17,44,7480,,2021/03/28T12:56:07.141,0.957,2021/03/28T12:56:08.098,S0
192.168.0.10,194.168.4.100,53926,53,17,1,66,,2021/03/28T12:56:09.123,0.000,2021/03/28T12:56:09.123,S0
192.168.0.10,194.168.8.100,53926,53,17,1,66,,2021/03/28T12:56:09.165,0.000,2021/03/28T12:56:09.165,S0
192.168.0.10,194.168.4.100,61033,53,17,1,75,,2021/03/28T12:56:09.680,0.000,2021/03/28T12:56:09.680,S0
192.168.0.10,194.168.4.100,59324,53,17,1,57,,2021/03/28T12:56:24.911,0.000,2021/03/28T12:56:24.911,S0
192.168.0.10,194.168.4.100,53174,53,17,1,73,,2021/03/28T12:56:24.972,0.000,2021/03/28T12:56:24.972,S0
